taxon_id,scientific_name,common_name
1,Abelmoschus sp.,Abelmoschus species
2,Abutilon sp.,Abutilon species
3,Acacia sp.,Acacia species
4,Acacia concinna,Shikakai
5,Acalypha sp.,Acalypha species
6,Aegilops sp.,Aegilops species
7,Aegilops tauschii,Tausch's goatgrass
8,Aeluropus sp.,Aeluropus species
9,Aerva sp.,Aerva species
10,Agropyron sp.,Agropyron species
11,Albizia lebbeck,Lebbeck
12,Allium sativum,Garlic
13,Amaranthus sp.,Amaranthus species
14,Amygdalus sp.,Amygdalus species
15,Andropogon sp.,Andropogon species
16,Apiaceae,Apiaceae family
17,Areca sp.,Areca species
18,Argemone mexicana,Mexican poppy
19,Arundinella metzii,Arundinella
20,Arundinella pumpila,Arundinella
21,Artemisia sp.,Artemisia species
22,Asphodelus sp.,Asphodelus species
23,Asteraceae,Asteraceae family
24,Astragalus sp.,Astragalus species
25,Atriplex sp.,Atriplex species
26,Avena sp.,Avena species
27,Avena sativa,Oat
28,Boerhavia diffusa,Punarnava
29,Bombax ceiba,Silk cotton tree
30,Boraginaceae,Boraginaceae family
31,Brassica  sp.,Brassica species
32,Brassica juncea,Brown mustard
33,Brachiaria sp.,Brachiaria species
34,Bracharia reptans,Sprawling Signalgrass
35,Brachiaria ramosa,Signalgrass
36,Bromus sp.,Bromus species
37,Cannabis sp,Cannabis species
38,Cannabis satius,Hemp
39,Capparis decidua,Ker (Indian caper)
40,Carex sp.,Carex species
41,Carex spicate,Carex species
42,Carissa carandas,Bengal currant
43,Caryophyllaceae,Caryophyllaceae family
44,Celosia sp.,Celosia species
45,Cenchrus sp.,Cenchrus species
46,Cenchrus ciliaris,Buffelgrass
47,Chenopodiaceae,Chenopodiaceae family
48,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae family
49,Chenopodium sp.,Chenopodium species
50,Chenopodium album,White Goosefoot
51,Chloris sp.,Chloris species
52,Chrysopogon zizanoides,East Indian lovegrass
53,Cicer sp.,Cicer species
54,Cicer arietinum,Chickpea
55,Citris limon,Lemon
56,Citrullus cf. colocynthis,Colocynth
57,Citrullus lanatus,Watermelon
58,Cleome sp.,Cleome species
59,Cleome viscosa,Sticky spiderflower
60,Coccinia cordifolia,Little ivy gourd
61,Coccinia grandis,Ivy gourd
62,Coix sp.,Coix species
63,Coix lacryma-jobi,Job's Tears
64,Commelina sp.,Commelina species
65,Commelina benghalensis,Bengal dayflower
66,Convolvulaceae,Convolvulaceae family
67,Convolvulus sp.,Convolvulus species
68,Cordia sp.,Cordia species
69,Cordia dichotoma,Fragrant manjack
70,Corchorus sp.,Corchorus species
71,Coriandrum sativum,Coriander
72,Crotalaria hirta,Sunn hemp
73,Crucifera (cf. Lepidium),Peppergrass
74,Curcurbitaceae (luffa type),Luffa (gourd) type
75,Cucumis sp.,Cucumis species
76,Cucumis melo,Melon
77,Curcurbita sp.,Curcurbita species
78,Cymbopogon martini,Palmarosa
79,Cyperaceae type,Sedge family
80,Cyperus sp.,Cyperus species
81,Cyperus iria,Ricefield sedge
82,Cyperus michelianus,Umbrella sedge
83,Cyperus rotunda,Nutgrass
84,Cynodon dactylon,Bermuda grass
85,Dactyloctenium aegpytium,Crowfoot grass
86,Desmodium sp.,Desmodium species
87,Dicanthium sp.,Dicanthium species
88,Digeria muricata,Tall bur grass
89,Digitaria sp.,Digitaria species
90,Digiteria ascendens,Knotroot fox-tail grass
91,Digitaria/Setaria,Digitaria species
92,Datura sp.,Datura species
93,Echinochloa sp.,Echinochloa species
94,Echinochloa colona,Jungle rice
95,Echinochloa crus-galli,Barnyard grass
96,Echinochloa stagnina,Indian barnyard grass
97,Elaeagnus augustifolia,Russian olive
98,Eleocharis sp.,Eleocharis species
99,Eleusine sp.,Eleusine species
100,Eleusine coracana,Finger millet
101,Elionurus royleanus,Elionurus
102,Ephedra sp.,Ephedra species
103,Eragrostis sp.,Eragrostis species
104,Eriophorum sp.,Eriophorum species
105,Euphorbia sp.,Euphorbia species
106,Euphorbia granulata,Spotted spurge
107,Euphorbia prostrata,Prostrate spurge
108,Euphorbia pycnostegia,Dwarf spurge
109,Euphorbia thymifolia,Thymeleaf spurge
110,Fabaceae,Fabaceae family
111,Ficus sp.,Ficus species
112,Ficus religiosa or racemosa,Sacred fig
113,Fimbristylus sp.,Fimbristylus species
114,Fimbristylus ovata,NA
115,Fimbristylua tenera,NA
116,Fumaria sp.,Fumaria species
117,Fumaria officinalis,Common fumitory
118,Galium sp.,Galium species
119,Glossocardia sp. cf. bosvallia,Indian daisy
120,Gossypium arboreum or herbaceum,Cotton
121,Heliotropium bacciferum,Salt Heliotrope
122,Hordeum sp.,Hordeum species
123,Hordeum vulgare,Barley
124,Hordeum  vulgare 6-row hulled,Barley
125,Hordeum vulgare nudeum,Naked barley
126,Hordeum vulgare nudum 6-row naked,Naked barley
127,Hordeum hulled,Naked barley
128,Hordeum naked,Naked barley
129,Hordeum 2 row,Naked barley
130,Hordeum distichum,Distichous barley
131,Hordeum sphaerococcum,Round-seeded barley
132,Hordeum spontaneum,Wild barley
133,Hordeum murinum,Wall barley
134,Hordeum/Triticum,Barley-wheat hybrid
135,Impatiens sp.,Impatiens species
136,Impatiens balsamina,Garden balsam
137,Indigofera sp.,Indigofera species
138,Indigofera astragalina,Assam indigo
139,Ipomoea sp.,Ipomoea species
140,Juglans regia,Walnut
141,Lablab purpureus,Hyacinth bean
142,Lathyrus  sp.,Lathyrus species
143,Lathyrus aphaca,Lathyrus aphaca
144,Lathyrus hirsutus,Caley pea
145,Lathyrus sativus,Grass pea
146,Lathyrus/Vicia,Vetch
147,Lens sp.,Lens species
148,Lens culinaris,Lentil
149,Linum sp.,Linum species
150,Linum usitatissimum,Flax
151,Lolium sp.,Lolium species
152,Lotus sp.,Lotus species
153,Lycium sp.,Lycium species
154,Macrotyloma sp.,Macrotyloma species
155,Macrotyloma uniflorum,Horse gram
156,Malvaceae,Malvaceae family
157,Mazus pumilus,Japanese Mazus
158,Medicago sp.,Medicago species
159,Medicago/Astragalus/Melilotis,Legume
160,Medicago/Melilotis/Trifolium,Sweet Yellow Clover
161,Melilotus sp.,Melilotus species
162,Melilotus/Trifolium,Sweet Clover
163,Melilotus indica,Indian sweet clover
164,Melochia sp.,Melochia species
165,Mimosoideae,Mimosoideae
166,Nannorrhops ritchiana,Makran date palm
167,Neptunia sp.,Neptunia species
168,Onobrychis sp.,Onobrychis species
169,Oryza sp.,Oryza species
170,Oryza sativa,Rice
171,Panicum sp.,Panicum species
172,Pancium miliaceum,Proso millet
173,Panicum sumatrense,Little millet
174,Papaveraceae,Papaveraceae family
175,Papaver sp.,Papaver species
176,Papilionaceae,Papilionaceae family
177,Paspalum sp.,Paspalum species
178,Peltophorum sp.,Peltophorum species
179,Pennisetum sp.,Pennisetum species
180,Pennisetum glaucum,Pearl millet
181,Pennisetum typhoides,Pearl millet
182,Phalaris sp.,Phalaris species
183,Phalaris minor,Little canary grass
184,Phoenix sp.,Phoenix species
185,Phoenix dactylifera,Date palm
186,Phragmites karka,Giant reed
187,Phyllanthus emblica,Indian gooseberry
188,Phyllanthus fraternus,Stonebreaker
189,Pistacia vera,Pistachio
190,Pisum sp.,Pisum species
191,Pisum arvense,Field pea
192,Pisum granum,Grain pea
193,Pisum sativum,Garden pea
194,Pisum/Vicia,Pea Vetch
195,Plantago cf. ovata,Psyllium
196,Poa sp.,Poa species
197,Poaceae,Poaceae family
198,Polygala sp.,Polygala species
199,Polygonum sp.,Polygonum species
200,Polygonum plebeium,Knotgrass
201,Polygonaceae,Polygonaceae family
202,Portulaca sp.,Portulaca species
203,Portulaca oleraceae,Portulaca oleraceae family
204,Psidium sp.,Psidium species
205,Prosopis sp.,Prosopis species
206,Prosopis cineraria,Khejri
207,Prunus sp.,Prunus species
208,Prunus dulcis,Almond
209,Rorippa sp.,Rorippa species
210,Ricinus communis,Castor bean
211,Rumex sp.,Rumex species
212,Rumex crispus,Curly dock
213,Rumex dentatus,Bluntleaf dock
214,Saccharum sp.,Saccharum species
215,Sapindus cf. emarginatus,Soapberry
216,Sapindus cf. laurifolius,Soapberry
217,Scirpus sp.,Scirpus species
218,Scirpus lateriflorus,Lateral-flower bulrush
219,Schoenoplectus litoralis,Coastal bulrush
220,Scleria sp.,Scleria species
221,SEB,NA
222,Sesamum indicum,Sesame
223,Sesamum malabaracum,Malabar sesame
224,Setaria sp.,Setaria species
225,Setaria glauca,Yellow bristlegrass
226,Setaria italica,Foxtail millet
227,Setaria pumila,Little millet
228,Setaria tomentosa,Bristly foxtail
229,Setaria verticillata,Rough bristlegrass
230,Setaria viridis,Green foxtail
231,Sida sp.,Sida species
232,Silene  sp.,Silene species
233,Siteria sp.,Siteria species
234,small millet,Small Millet
235,big millet,Big Millet
236,Solanaceae,Solanaceae family
237,Solanum sp.,Solanum species
238,Solanum ducamara,Bittersweet nightshade
239,Solarium sp.,Solarium species
240,Sorghum sp.,Sorghum species
241,Sorghum bicolor,Sorghum
242,Spermocoe sp.,Spermocoe species
243,Stellaria sp.,Stellaria species
244,Stellaria nemorum,Wood stitchwort
245,Tamarindus indica,Tamarind
246,Tamarix sp.,Tamarix species
247,Terminalia chebula,Chebulic myrobalan
248,Tradescantia sp.,Tradescantia species
249,Tragus sp.,Tragus species
250,Trianthema  sp.,Trianthema species
251,Trianthema/Mollugo,NA
252,Trianthema decandra,Decandra carpetweed
253,Trianthema pentandra,Pentandra carpetweed
254,Trianthema portulcastrum,Carpetweed
255,Trianthema triquetra,Triquetra carpetweed
256,Tribulus sp.,Tribulus species
257,Trifolium sp.,Trifolium species
258,Trifolium alexandrinum,Egyptian clover
259,Trifolium repens,White clover
260,Trigonella sp.,Trigonella species
261,Trigonella foenum-graecum,Fenugreek
262,Trigonella occulta,Wild fenugreek
263,Triticum sp.,Triticum species
264,Triticum aestivum,Bread wheat
265,Triticum aestivum-compactum,Club wheat
266,Triticum aestivum-durum,Durum wheat
267,Triticum compactum,Club wheat
268,Triticum dicoccum,Emmer wheat
269,Triticum monoccocum-dicoccum,Einkorn-emmer wheat hybrid
270,Triticum monococcum,Einkorn wheat
271,Triticum sphaerococcum,Spelt wheat
272,Verbascum sp.,Verbascum species
273,Vicia sp.,Vicia species
274,Vicia hirsuta,Hairy vetch
275,Vicia sativa,Common vetch
276,Vigna sp.,Vigna species
277,Vigna aconitifolia,Moth bean
278,Vigna catjang,Cowpea
279,Vigna mungo,Black gram
280,Vigna mungo/radiata,Black gram/mung bean hybrid
281,Vigna radiata,Mung bean
282,Vigna trilobata,Trilobata bean
283,Vigna unguiculata,Cowpea
284,Vitis vinifera,Grape vine
285,Zaleya sp.,Zaleya species
286,Zaleya decandra,Decandra zaleya
287,Ziziphus sp.,Ziziphus species
288,Ziziphus jujuba,Jujube
289,Ziziphus mauritiana,Indian jujube
290,Ziziphus nummularia,Wild jujube
291,Indeterminate,NA
292,indet millet,Millet
293,indeterminate fruit,NA
294,indeterminate oilseed/fibre,NA
295,indeterminate curled embryo,NA
296,indeterminate round seed,NA
297,unid seed,NA
298,unid flower,NA
299,unknown grass,NA
300,non-crop,NA
301,wild fruit,NA
302,wild grass,NA
303,wild herbs,NA
304,Setaria pumila hulled,Yellow Foxtail
305,Poaceae inflorence,Poaceae species
306,Poaceae glume,Poaceae species
307,Poaceae node,Poaceae species
308,Poaceae spikelet base,Poaceae species
309,Dactyloctenium aegyptium inflorecence,Crowfoot Grass
310,T.  f-t  rachis,NA
311,T. aestivum f-t  rachis,NA
312,T. aestivum glume base,NA
313,H. sp. rachis,NA
314,cf. H. rachis,NA
315,H. vulagre rachis,NA
316,H. vulagre rachis 6-row,NA
317,H. vulagre rachis 2-row,NA
318,H/T rachis,NA
319,cereal rachii,NA
320,grass culm,Grass Culm
321,Oryza husk,Oryza species
322,Oryza spikelet base,Oryza species
323,Oryza spikelet base (domesticated),Oryza species
324,Oryza spikelet base (wild),Oryza species
325,Oryza spikelet base (immature),Oryza species
326,Oryza spikelet base (silicified),Oryza species
327,Brachiaria ramosa inflor,Browntop Millet
328,Panicum sumarense inflor,Little Millet
329,Setaria spikelets,Setaria species
330,SEB inflor,NA
331,seed by-products,NA
332,Fabaceae leaf frag,Legume
333,Hypanthodium (type of inflorescence),NA
334,Parenchyma,Animal Tissue
335,rhizomes,Rhizomes
336,charred grains,NA
337,uncharred Phoenix sp.,Phoenix species
338,uncharred Ficus religiosa,Sacred fig
339,Impressions,NA
